"TOA5","21492","CR1000X","21492","CR1000X.Std.04.02","CPU:Lab2.CR1X","33475","SlowResponse"
"TIMESTAMP","RECORD","AirTC","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Deg C","%","m/s","deg","m/s","degC"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 22:01:00",280,-1.487984,41.54517,0.05,353.6,0.05,-2.1
"2022-01-25 22:02:00",281,-1.543076,41.55429,0.26,46.6,0.26,-2
"2022-01-25 22:03:00",282,-1.519241,41.56395,0.19,42.5,0.19,-2.1
"2022-01-25 22:04:00",283,-1.51622,41.57405,0.46,296.5,0.46,-1.6
"2022-01-25 22:05:00",284,-1.514084,41.64125,0.5,323.9,0.5,-1.3
"2022-01-25 22:06:00",285,-1.563187,41.61466,0.43,273.8,0.43,-1.4
"2022-01-25 22:07:00",286,-1.58886,41.68009,0.15,286.4,0.15,-1.4
"2022-01-25 22:08:00",287,-1.540657,41.72443,0.17,300.9,0.17,-1.1
"2022-01-25 22:09:00",288,-1.481712,41.7677,0.16,33.2,0.16,-1.9
"2022-01-25 22:10:00",289,-1.488274,41.86505,0.21,62.3,0.21,-1.6
"2022-01-25 22:11:00",290,-1.450302,41.70216,0.62,350.8,0.62,-1.4
"2022-01-25 22:12:00",291,-1.431488,41.72833,0.51,118.1,0.51,-1.5
"2022-01-25 22:13:00",292,-1.364197,41.59943,0.36,131.4,0.36,-1.1
"2022-01-25 22:14:00",293,-1.314743,41.77762,0.27,307.2,0.27,-1.2
"2022-01-25 22:15:00",294,-1.309792,41.79736,0.31,290,0.31,-1.3
"2022-01-25 22:16:00",295,-1.292336,41.79923,0.37,334.2,0.37,-0.9
"2022-01-25 22:17:00",296,-1.270287,41.77546,0.3,227.4,0.3,-1.4
"2022-01-25 22:18:00",297,-1.226875,41.79256,0.15,129.5,0.15,-1.8
"2022-01-25 22:19:00",298,-1.199669,41.79295,1.15,271.6,1.15,-1.7
"2022-01-25 22:20:00",299,-1.195793,41.74383,2.22,288.8,2.22,-1.8
"2022-01-25 22:21:00",300,-1.22451,41.74728,0.33,334.4,0.33,-1.9
